title,description,label,severity,priority,team
Backend Bug #9,The system fails to handle 'API' properly in the backend module.,Backend,Critical,P0,Backend
Backend Bug #10,The system fails to handle 'logic' properly in the backend module.,Backend,High,P1,Backend
Backend Bug #11,The system fails to handle 'exception' properly in the backend module.,Backend,Low,P2,Backend
Backend Bug #12,The system fails to handle 'API' properly in the backend module.,Backend,Low,P2,Backend
Backend Bug #13,The system fails to handle 'endpoint' properly in the backend module.,Backend,High,P0,Backend
Backend Bug #14,The system fails to handle 'exception' properly in the backend module.,Backend,Low,P1,Backend
Backend Bug #15,The system fails to handle 'logic' properly in the backend module.,Backend,High,P1,Backend
Backend Bug #16,The system fails to handle 'logic' properly in the backend module.,Backend,Critical,P0,Backend
Backend Bug #17,The system fails to handle 'controller' properly in the backend module.,Backend,Low,P1,Backend
Backend Bug #18,The system fails to handle 'exception' properly in the backend module.,Backend,Medium,P3,Backend
Backend Bug #19,The system fails to handle 'database' properly in the backend module.,Backend,Low,P0,Backend
Backend Bug #20,The system fails to handle 'database' properly in the backend module.,Backend,Medium,P2,Backend
Backend Bug #21,The system fails to handle 'API' properly in the backend module.,Backend,Low,P3,Backend
Backend Bug #22,The system fails to handle 'database' properly in the backend module.,Backend,Critical,P0,Backend
Backend Bug #23,The system fails to handle 'API' properly in the backend module.,Backend,Medium,P3,Backend
Backend Bug #24,The system fails to handle 'API' properly in the backend module.,Backend,High,P3,Backend
Backend Bug #25,The system fails to handle 'endpoint' properly in the backend module.,Backend,Critical,P0,Backend
Backend Bug #26,The system fails to handle 'endpoint' properly in the backend module.,Backend,Critical,P2,Backend
Backend Bug #27,The system fails to handle 'endpoint' properly in the backend module.,Backend,Medium,P3,Backend
Backend Bug #28,The system fails to handle 'endpoint' properly in the backend module.,Backend,Medium,P0,Backend
Backend Bug #29,The system fails to handle 'endpoint' properly in the backend module.,Backend,Medium,P2,Backend
Backend Bug #30,The system fails to handle 'API' properly in the backend module.,Backend,Critical,P3,Backend
Security Bug #1,The system fails to handle 'SQL injection' properly in the security module.,Security,High,P0,Security
Security Bug #2,The system fails to handle 'SQL injection' properly in the security module.,Security,Medium,P1,Security
Security Bug #3,The system fails to handle 'encryption' properly in the security module.,Security,Low,P2,Security
Security Bug #4,The system fails to handle 'csrf' properly in the security module.,Security,Medium,P0,Security
Security Bug #5,The system fails to handle 'SQL injection' properly in the security module.,Security,Low,P1,Security
Security Bug #6,The system fails to handle 'csrf' properly in the security module.,Security,Medium,P2,Security
Security Bug #7,The system fails to handle 'SQL injection' properly in the security module.,Security,High,P1,Security
Security Bug #8,The system fails to handle 'csrf' properly in the security module.,Security,High,P2,Security
Security Bug #9,The system fails to handle 'XSS' properly in the security module.,Security,Critical,P0,Security
Security Bug #10,The system fails to handle 'XSS' properly in the security module.,Security,Critical,P1,Security
Security Bug #11,The system fails to handle 'XSS' properly in the security module.,Security,High,P2,Security
Security Bug #12,The system fails to handle 'csrf' properly in the security module.,Security,Medium,P0,Security
Security Bug #13,The system fails to handle 'encryption' properly in the security module.,Security,Low,P0,Security
Security Bug #14,The system fails to handle 'encryption' properly in the security module.,Security,Critical,P3,Security
Security Bug #15,The system fails to handle 'unauthorized' properly in the security module.,Security,Low,P2,Security
Security Bug #16,The system fails to handle 'encryption' properly in the security module.,Security,High,P2,Security
Security Bug #17,The system fails to handle 'XSS' properly in the security module.,Security,Critical,P0,Security
Security Bug #18,The system fails to handle 'encryption' properly in the security module.,Security,High,P2,Security
Security Bug #19,The system fails to handle 'encryption' properly in the security module.,Security,Medium,P2,Security
Security Bug #20,The system fails to handle 'csrf' properly in the security module.,Security,Critical,P2,Security
Security Bug #21,The system fails to handle 'encryption' properly in the security module.,Security,High,P1,Security
Security Bug #22,The system fails to handle 'SQL injection' properly in the security module.,Security,High,P2,Security
Security Bug #23,The system fails to handle 'XSS' properly in the security module.,Security,Critical,P1,Security
Security Bug #24,The system fails to handle 'access control' properly in the security module.,Security,Low,P0,Security
Security Bug #25,The system fails to handle 'SQL injection' properly in the security module.,Security,Critical,P0,Security
Security Bug #26,The system fails to handle 'SQL injection' properly in the security module.,Security,Critical,P3,Security
Security Bug #27,The system fails to handle 'unauthorized' properly in the security module.,Security,Low,P3,Security
Security Bug #28,The system fails to handle 'SQL injection' properly in the security module.,Security,Low,P1,Security
Security Bug #29,The system fails to handle 'csrf' properly in the security module.,Security,Medium,P0,Security
Security Bug #30,The system fails to handle 'csrf' properly in the security module.,Security,Critical,P0,Security
DevOps Bug #1,The system fails to handle 'deployment' properly in the devops module.,DevOps,Critical,P1,DevOps
DevOps Bug #2,The system fails to handle 'CI/CD' properly in the devops module.,DevOps,Medium,P3,DevOps
DevOps Bug #3,The system fails to handle 'CI/CD' properly in the devops module.,DevOps,Critical,P3,DevOps
DevOps Bug #4,The system fails to handle 'logs' properly in the devops module.,DevOps,Medium,P2,DevOps
DevOps Bug #5,The system fails to handle 'deployment' properly in the devops module.,DevOps,Low,P1,DevOps
DevOps Bug #6,The system fails to handle 'deployment' properly in the devops module.,DevOps,Low,P3,DevOps
DevOps Bug #7,The system fails to handle 'monitoring' properly in the devops module.,DevOps,Critical,P2,DevOps
DevOps Bug #8,The system fails to handle 'logs' properly in the devops module.,DevOps,High,P1,DevOps
DevOps Bug #9,The system fails to handle 'CI/CD' properly in the devops module.,DevOps,Medium,P1,DevOps
DevOps Bug #10,The system fails to handle 'deployment' properly in the devops module.,DevOps,Medium,P2,DevOps
DevOps Bug #11,The system fails to handle 'deployment' properly in the devops module.,DevOps,Medium,P3,DevOps
DevOps Bug #12,The system fails to handle 'cron job' properly in the devops module.,DevOps,High,P0,DevOps
DevOps Bug #13,The system fails to handle 'cron job' properly in the devops module.,DevOps,High,P3,DevOps
DevOps Bug #14,The system fails to handle 'cron job' properly in the devops module.,DevOps,Low,P2,DevOps
DevOps Bug #15,The system fails to handle 'pipeline' properly in the devops module.,DevOps,Critical,P0,DevOps
DevOps Bug #16,The system fails to handle 'monitoring' properly in the devops module.,DevOps,Medium,P1,DevOps
DevOps Bug #17,The system fails to handle 'monitoring' properly in the devops module.,DevOps,High,P3,DevOps
DevOps Bug #18,The system fails to handle 'pipeline' properly in the devops module.,DevOps,High,P0,DevOps
DevOps Bug #19,The system fails to handle 'monitoring' properly in the devops module.,DevOps,High,P1,DevOps
DevOps Bug #20,The system fails to handle 'logs' properly in the devops module.,DevOps,High,P0,DevOps
DevOps Bug #21,The system fails to handle 'monitoring' properly in the devops module.,DevOps,Low,P2,DevOps
DevOps Bug #22,The system fails to handle 'CI/CD' properly in the devops module.,DevOps,Low,P3,DevOps
DevOps Bug #23,The system fails to handle 'monitoring' properly in the devops module.,DevOps,Medium,P2,DevOps
DevOps Bug #24,The system fails to handle 'monitoring' properly in the devops module.,DevOps,Critical,P1,DevOps
DevOps Bug #25,The system fails to handle 'monitoring' properly in the devops module.,DevOps,Low,P3,DevOps
DevOps Bug #26,The system fails to handle 'pipeline' properly in the devops module.,DevOps,Critical,P3,DevOps
DevOps Bug #27,The system fails to handle 'deployment' properly in the devops module.,DevOps,High,P2,DevOps
DevOps Bug #28,The system fails to handle 'monitoring' properly in the devops module.,DevOps,High,P1,DevOps
DevOps Bug #29,The system fails to handle 'logs' properly in the devops module.,DevOps,Medium,P2,DevOps
DevOps Bug #30,The system fails to handle 'cron job' properly in the devops module.,DevOps,Medium,P1,DevOps
Analytics Bug #1,The system fails to handle 'report' properly in the analytics module.,Analytics,High,P0,Data
Analytics Bug #2,The system fails to handle 'metric' properly in the analytics module.,Analytics,High,P1,Data
Analytics Bug #3,The system fails to handle 'report' properly in the analytics module.,Analytics,Critical,P1,Data
Analytics Bug #4,The system fails to handle 'chart' properly in the analytics module.,Analytics,High,P3,Data
Analytics Bug #5,The system fails to handle 'KPI' properly in the analytics module.,Analytics,High,P3,Data
Analytics Bug #6,The system fails to handle 'metric' properly in the analytics module.,Analytics,Low,P1,Data
Analytics Bug #7,The system fails to handle 'tracking' properly in the analytics module.,Analytics,High,P0,Data
Analytics Bug #8,The system fails to handle 'metric' properly in the analytics module.,Analytics,High,P3,Data
Analytics Bug #9,The system fails to handle 'KPI' properly in the analytics module.,Analytics,Critical,P2,Data
Analytics Bug #10,The system fails to handle 'chart' properly in the analytics module.,Analytics,Critical,P3,Data
Analytics Bug #11,The system fails to handle 'metric' properly in the analytics module.,Analytics,High,P0,Data
Analytics Bug #12,The system fails to handle 'metric' properly in the analytics module.,Analytics,Medium,P0,Data
Analytics Bug #13,The system fails to handle 'metric' properly in the analytics module.,Analytics,Medium,P0,Data
Analytics Bug #14,The system fails to handle 'metric' properly in the analytics module.,Analytics,Medium,P1,Data
Analytics Bug #15,The system fails to handle 'tracking' properly in the analytics module.,Analytics,Low,P2,Data
Analytics Bug #16,The system fails to handle 'report' properly in the analytics module.,Analytics,Low,P2,Data
Analytics Bug #17,The system fails to handle 'report' properly in the analytics module.,Analytics,Critical,P0,Data
Analytics Bug #18,The system fails to handle 'tracking' properly in the analytics module.,Analytics,Medium,P2,Data
Analytics Bug #19,The system fails to handle 'report' properly in the analytics module.,Analytics,High,P2,Data
Analytics Bug #20,The system fails to handle 'dashboard' properly in the analytics module.,Analytics,Low,P1,Data
Analytics Bug #21,The system fails to handle 'KPI' properly in the analytics module.,Analytics,Low,P1,Data
Analytics Bug #22,The system fails to handle 'report' properly in the analytics module.,Analytics,High,P0,Data
Analytics Bug #23,The system fails to handle 'KPI' properly in the analytics module.,Analytics,Critical,P2,Data
Analytics Bug #24,The system fails to handle 'dashboard' properly in the analytics module.,Analytics,High,P1,Data
Analytics Bug #25,The system fails to handle 'tracking' properly in the analytics module.,Analytics,High,P3,Data
Analytics Bug #26,The system fails to handle 'report' properly in the analytics module.,Analytics,Medium,P3,Data
Analytics Bug #27,The system fails to handle 'KPI' properly in the analytics module.,Analytics,High,P3,Data
Analytics Bug #28,The system fails to handle 'metric' properly in the analytics module.,Analytics,Low,P1,Data
Analytics Bug #29,The system fails to handle 'dashboard' properly in the analytics module.,Analytics,Critical,P1,Data
Analytics Bug #30,The system fails to handle 'KPI' properly in the analytics module.,Analytics,Low,P0,Data
Database Bug #1,The system fails to handle 'query' properly in the database module.,Database,Medium,P3,Database
Database Bug #2,The system fails to handle 'foreign key' properly in the database module.,Database,Low,P3,Database
Database Bug #3,The system fails to handle 'index' properly in the database module.,Database,High,P3,Database
Database Bug #4,The system fails to handle 'join' properly in the database module.,Database,Critical,P1,Database
Database Bug #5,The system fails to handle 'index' properly in the database module.,Database,Critical,P3,Database
Database Bug #6,The system fails to handle 'SQL' properly in the database module.,Database,Low,P3,Database
Database Bug #7,The system fails to handle 'index' properly in the database module.,Database,Critical,P3,Database
Database Bug #8,The system fails to handle 'index' properly in the database module.,Database,Medium,P2,Database
Database Bug #9,The system fails to handle 'foreign key' properly in the database module.,Database,High,P3,Database
Database Bug #10,The system fails to handle 'join' properly in the database module.,Database,Critical,P2,Database
Database Bug #11,The system fails to handle 'join' properly in the database module.,Database,Low,P2,Database
Database Bug #12,The system fails to handle 'index' properly in the database module.,Database,High,P3,Database
Database Bug #13,The system fails to handle 'index' properly in the database module.,Database,Critical,P3,Database
Database Bug #14,The system fails to handle 'join' properly in the database module.,Database,High,P0,Database
Database Bug #15,The system fails to handle 'index' properly in the database module.,Database,Low,P1,Database
Database Bug #16,The system fails to handle 'SQL' properly in the database module.,Database,Low,P3,Database
Database Bug #17,The system fails to handle 'index' properly in the database module.,Database,Medium,P0,Database
Database Bug #18,The system fails to handle 'SQL' properly in the database module.,Database,Low,P3,Database
Database Bug #19,The system fails to handle 'index' properly in the database module.,Database,High,P0,Database
Database Bug #20,The system fails to handle 'foreign key' properly in the database module.,Database,Critical,P1,Database
Database Bug #21,The system fails to handle 'join' properly in the database module.,Database,High,P0,Database
Database Bug #22,The system fails to handle 'migration' properly in the database module.,Database,High,P0,Database
Database Bug #23,The system fails to handle 'foreign key' properly in the database module.,Database,Low,P0,Database
Database Bug #24,The system fails to handle 'index' properly in the database module.,Database,Critical,P1,Database
Database Bug #25,The system fails to handle 'SQL' properly in the database module.,Database,Critical,P2,Database
Database Bug #26,The system fails to handle 'join' properly in the database module.,Database,High,P3,Database
Database Bug #27,The system fails to handle 'index' properly in the database module.,Database,Low,P2,Database
Database Bug #28,The system fails to handle 'SQL' properly in the database module.,Database,Medium,P1,Database
Database Bug #29,The system fails to handle 'join' properly in the database module.,Database,High,P3,Database
Database Bug #30,The system fails to handle 'join' properly in the database module.,Database,Medium,P2,Database
Performance Bug #1,The system fails to handle 'optimize' properly in the performance module.,Performance,Medium,P1,Backend
Performance Bug #2,The system fails to handle 'timeout' properly in the performance module.,Performance,High,P1,Backend
Performance Bug #3,The system fails to handle 'caching' properly in the performance module.,Performance,Medium,P0,Backend
Performance Bug #4,The system fails to handle 'load time' properly in the performance module.,Performance,Medium,P1,Backend
Performance Bug #5,The system fails to handle 'timeout' properly in the performance module.,Performance,Medium,P2,Backend
Performance Bug #6,The system fails to handle 'timeout' properly in the performance module.,Performance,High,P1,Backend
Performance Bug #7,The system fails to handle 'caching' properly in the performance module.,Performance,Medium,P3,Backend
Performance Bug #8,The system fails to handle 'slow' properly in the performance module.,Performance,Medium,P2,Backend
Performance Bug #9,The system fails to handle 'load time' properly in the performance module.,Performance,Critical,P2,Backend
Performance Bug #10,The system fails to handle 'latency' properly in the performance module.,Performance,High,P1,Backend
Performance Bug #11,The system fails to handle 'latency' properly in the performance module.,Performance,High,P2,Backend
Performance Bug #12,The system fails to handle 'load time' properly in the performance module.,Performance,Medium,P3,Backend
Performance Bug #13,The system fails to handle 'timeout' properly in the performance module.,Performance,Medium,P3,Backend
Performance Bug #14,The system fails to handle 'load time' properly in the performance module.,Performance,High,P0,Backend
Performance Bug #15,The system fails to handle 'caching' properly in the performance module.,Performance,Medium,P3,Backend
Performance Bug #16,The system fails to handle 'caching' properly in the performance module.,Performance,Low,P2,Backend
Performance Bug #17,The system fails to handle 'slow' properly in the performance module.,Performance,Medium,P1,Backend
Performance Bug #18,The system fails to handle 'optimize' properly in the performance module.,Performance,Low,P0,Backend
Performance Bug #19,The system fails to handle 'load time' properly in the performance module.,Performance,Critical,P3,Backend
Performance Bug #20,The system fails to handle 'latency' properly in the performance module.,Performance,Critical,P3,Backend
Performance Bug #21,The system fails to handle 'optimize' properly in the performance module.,Performance,Low,P3,Backend
Performance Bug #22,The system fails to handle 'optimize' properly in the performance module.,Performance,Medium,P2,Backend
Performance Bug #23,The system fails to handle 'timeout' properly in the performance module.,Performance,Critical,P3,Backend
Performance Bug #24,The system fails to handle 'optimize' properly in the performance module.,Performance,High,P2,Backend
Performance Bug #25,The system fails to handle 'caching' properly in the performance module.,Performance,Medium,P2,Backend
Performance Bug #26,The system fails to handle 'slow' properly in the performance module.,Performance,Low,P2,Backend
Performance Bug #27,The system fails to handle 'caching' properly in the performance module.,Performance,Low,P0,Backend
Performance Bug #28,The system fails to handle 'caching' properly in the performance module.,Performance,High,P0,Backend
Performance Bug #29,The system fails to handle 'latency' properly in the performance module.,Performance,High,P3,Backend
Performance Bug #30,The system fails to handle 'slow' properly in the performance module.,Performance,Critical,P3,Backend
Notifications Bug #1,The system fails to handle 'webhook' properly in the notifications module.,Notifications,High,P1,Frontend
Notifications Bug #2,The system fails to handle 'push' properly in the notifications module.,Notifications,High,P0,Frontend
Notifications Bug #3,The system fails to handle 'email' properly in the notifications module.,Notifications,Critical,P0,Frontend
Notifications Bug #4,The system fails to handle 'webhook' properly in the notifications module.,Notifications,Medium,P1,Frontend
Notifications Bug #5,The system fails to handle 'webhook' properly in the notifications module.,Notifications,Critical,P0,Frontend
Notifications Bug #6,The system fails to handle 'email' properly in the notifications module.,Notifications,Medium,P0,Frontend
Notifications Bug #7,The system fails to handle 'email' properly in the notifications module.,Notifications,Medium,P2,Frontend
Notifications Bug #8,The system fails to handle 'notification' properly in the notifications module.,Notifications,Critical,P2,Frontend
Notifications Bug #9,The system fails to handle 'push' properly in the notifications module.,Notifications,Medium,P0,Frontend
Notifications Bug #10,The system fails to handle 'push' properly in the notifications module.,Notifications,Medium,P1,Frontend
Notifications Bug #11,The system fails to handle 'alert' properly in the notifications module.,Notifications,Medium,P2,Frontend
Notifications Bug #12,The system fails to handle 'email' properly in the notifications module.,Notifications,Medium,P2,Frontend
Notifications Bug #13,The system fails to handle 'email' properly in the notifications module.,Notifications,Critical,P3,Frontend
Notifications Bug #14,The system fails to handle 'email' properly in the notifications module.,Notifications,Critical,P1,Frontend
Notifications Bug #15,The system fails to handle 'template' properly in the notifications module.,Notifications,Low,P0,Frontend
Notifications Bug #16,The system fails to handle 'template' properly in the notifications module.,Notifications,Medium,P1,Frontend
Notifications Bug #17,The system fails to handle 'notification' properly in the notifications module.,Notifications,Medium,P2,Frontend
Notifications Bug #18,The system fails to handle 'webhook' properly in the notifications module.,Notifications,High,P0,Frontend
Notifications Bug #19,The system fails to handle 'template' properly in the notifications module.,Notifications,Medium,P3,Frontend
Notifications Bug #20,The system fails to handle 'webhook' properly in the notifications module.,Notifications,Critical,P1,Frontend
Notifications Bug #21,The system fails to handle 'push' properly in the notifications module.,Notifications,Critical,P1,Frontend
Notifications Bug #22,The system fails to handle 'webhook' properly in the notifications module.,Notifications,Critical,P3,Frontend
Notifications Bug #23,The system fails to handle 'template' properly in the notifications module.,Notifications,Low,P2,Frontend
Notifications Bug #24,The system fails to handle 'email' properly in the notifications module.,Notifications,Medium,P2,Frontend
Notifications Bug #25,The system fails to handle 'webhook' properly in the notifications module.,Notifications,Medium,P3,Frontend
Notifications Bug #26,The system fails to handle 'alert' properly in the notifications module.,Notifications,High,P1,Frontend
Notifications Bug #27,The system fails to handle 'notification' properly in the notifications module.,Notifications,Critical,P2,Frontend
Notifications Bug #28,The system fails to handle 'alert' properly in the notifications module.,Notifications,High,P3,Frontend
Notifications Bug #29,The system fails to handle 'alert' properly in the notifications module.,Notifications,High,P2,Frontend
Notifications Bug #30,The system fails to handle 'notification' properly in the notifications module.,Notifications,High,P3,Frontend
